GTId,GameId,TagId
865,13250,14
866,13250,9
867,13500,14
868,13520,14
869,13530,14
870,13530,12
871,13540,14
872,13540,9
873,13560,14
874,13570,14
875,13580,14
876,13600,14
877,13620,14
878,13620,9
879,15000,14
880,15000,9
881,15080,14
882,15100,14
883,15100,12
884,15120,14
885,15120,9
886,15120,3
887,15130,14
888,15160,14
889,15170,14
890,15190,14
891,15200,14
892,15200,9
893,15210,14
894,15210,9
895,15210,3
896,15240,14
897,15240,9
898,15270,14
899,15300,14
900,15300,3
901,15320,14
902,15320,9
903,15320,16
904,15320,6
905,15370,14
906,15380,14
907,15390,14
908,15400,14
909,15400,15
910,15500,14
911,15500,15
912,15500,12
913,15520,14
914,15520,15
915,15520,17
916,15560,14
917,15560,15
918,15560,5
919,15560,17
920,15620,14
921,15620,9
922,15620,3
923,15620,18
924,15620,16
925,15700,14
926,15700,18
927,15710,14
928,15740,14
929,15740,15
930,15740,18
931,15740,12
932,15750,14
933,15750,15
934,15800,14
935,15800,15
936,15800,12
937,15900,14
938,15910,14
939,15920,14
940,15930,14
941,15960,14
942,15970,14
943,16000,14
944,16020,14
945,16030,14
946,16040,14
947,16060,14
948,16100,14
949,16110,14
950,16120,14
951,16130,14
952,16180,14
953,16200,14
954,16450,14
955,16450,9
956,16500,14
957,16500,15
958,16600,14
959,16600,9
960,16600,15
961,16620,14
962,16710,14
963,16720,14
964,16720,12
965,16730,14
966,16810,14
967,16810,9
968,16900,14
969,16900,11
970,16900,10
971,16900,20
972,16900,12
973,17080,9
974,17080,3
975,17100,14
976,17100,15
977,17120,14
978,17120,15
979,17140,14
980,17140,15
981,17180,14
982,17180,15
983,17300,14
984,17330,14
985,17390,14
986,17410,14
987,17410,5
988,17410,12
989,17430,14
990,17430,9
991,17430,12
992,17440,14
993,17450,14
994,17460,14
995,17470,14
996,17470,5
997,17480,14
998,17500,9
999,17500,3
1000,17500,8
1001,17500,8
1002,17500,15
1003,17500,19
1004,17500,16
1005,17500,19
1006,17500,6
1007,17500,6
1008,17570,9
1009,17570,11
1010,17570,4
1011,17570,8
1012,17570,15
1013,17570,19
1014,17570,16
1015,17570,19
1016,17570,14
1017,17570,6
1018,17570,6
1019,17710,9
1020,17710,11
1021,17710,4
1022,17710,15
1023,17710,18
1024,17710,19
1025,17710,12
1026,17710,16
1027,17710,19
1028,17710,14
1029,17710,6
1030,17740,9
1031,17740,4
1032,17740,16
1033,17740,6
1034,17740,6
1035,18000,14
1036,18000,15
1037,18020,14
1038,18020,15
1039,18040,14
1040,18040,13
1041,18040,15
1042,18040,12
1043,18040,16
1044,18040,17
