GGLinkerId,GameId,GenreId
429,12810,15
430,12830,1
431,13000,5
432,13000,11
433,13140,1
434,13200,1
435,13210,1
436,13230,1
437,13240,1
438,13250,1
439,13500,1
440,13500,2
441,13520,1
442,13530,1
443,13530,2
444,13540,1
445,13560,1
446,13570,1
447,13580,1
448,13600,1
449,13600,2
450,13620,1
451,15000,1
452,15080,1
453,15080,2
454,15100,1
455,15100,2
456,15120,1
457,15130,1
458,15130,2
459,15160,17
460,15170,20
461,15190,1
462,15200,17
463,15210,17
464,15240,17
465,15270,1
466,15300,1
467,15320,17
468,15370,20
469,15380,20
470,15390,1
471,15400,20
472,15400,11
473,15500,11
474,15500,5
475,15520,1
476,15520,11
477,15520,19
478,15560,1
479,15560,11
480,15560,19
481,15620,20
482,15700,2
483,15710,2
484,15740,1
485,15740,2
486,15740,20
487,15750,1
488,15750,2
489,15750,20
490,15800,11
491,15800,5
492,15900,5
493,15910,5
494,15920,5
495,15930,5
496,15960,5
497,15970,5
498,16000,5
499,16020,5
500,16030,5
501,16040,5
502,16060,5
503,16100,5
504,16100,17
505,16110,5
506,16110,17
507,16120,5
508,16120,17
509,16130,5
510,16130,17
511,16180,5
512,16180,17
513,16200,5
514,16200,17
515,16450,1
516,16500,5
517,16500,11
518,16600,11
519,16600,14
520,16600,19
521,16620,11
522,16620,14
523,16620,19
524,16710,1
525,16710,2
526,16720,1
527,16730,1
528,16810,20
529,16900,1
530,16900,11
531,16900,7
532,17080,1
533,17080,8
534,17100,20
535,17100,17
536,17120,20
537,17120,17
538,17140,15
539,17140,20
540,17180,20
541,17300,1
542,17330,1
543,17390,17
544,17410,1
545,17410,2
546,17430,1
547,17430,14
548,17440,17
549,17450,15
550,17460,1
551,17460,15
552,17470,1
553,17480,20
554,17500,1
555,17500,8
556,17500,11
557,17570,1
558,17570,8
559,17570,11
560,17710,1
561,17710,20
562,17740,1
563,17740,8
564,17740,20
565,18000,2
566,18000,15
567,18020,2
568,18020,15
569,18040,1
570,18040,11
571,18040,15
572,18050,1
573,18050,15
574,18050,11
575,18070,1
576,18070,2
577,18070,15
578,18120,1
579,18120,5
580,18120,11
581,18120,20
582,18300,5
583,18300,11
584,18400,5
585,18400,20
586,18420,5
587,18420,20
588,18470,20
589,18480,2
590,18500,11
591,18500,20
592,18600,11
593,18600,20
594,18700,1
595,18700,11
596,18820,1
597,18820,11
598,18820,14
599,18820,19
600,19000,2
601,19020,5
602,19020,15
603,19030,1
604,19030,2
605,19080,1
606,19080,2
607,19080,5
608,19200,1
609,19200,11
610,19320,1
611,19320,11
612,19320,5
613,19500,2
614,19500,11
615,19800,1
616,19830,1
617,19900,1
618,19980,1
619,19980,2
620,20200,11
621,20200,5
622,20200,19
623,20510,1
624,20510,15
625,20530,1
626,20540,20
627,20550,1
628,20550,20
629,20570,20
630,20700,1
631,20700,11
632,20700,20
633,20710,1
634,20710,11
635,20710,20
636,20820,1
637,20820,11
638,20900,1
639,20900,15
640,20920,15
641,21000,1
642,21000,2
643,21010,1
644,21030,1
645,21090,1
646,21100,1
647,21130,1
648,21130,2
649,21300,11
650,21300,5
651,21400,20
652,21400,1
653,21400,11
654,21500,14
655,21640,5
656,21640,20
657,21660,1
658,21670,1
659,21670,2
660,21680,1
661,21690,1
662,21690,2
663,21780,14
664,21800,20
665,21980,1
666,22000,11
667,22100,11
668,22100,15
669,22120,13
670,22120,10
671,22120,1
672,22120,2
673,22120,11
674,22130,20
675,22180,10
676,22180,1
677,22180,2
678,22180,11
679,22200,1
680,22200,11
681,22230,1
682,22230,11
683,22230,14
684,22230,20
685,22300,15
686,22310,1
687,22320,15
688,22330,15
689,22350,1
