GameReviewsId,GameId,positiveRatings,negativeRatings
1112,104020,91,38
1113,104100,53,24
1114,104200,4036,731
1115,104900,22057,7558
1116,105000,1000,314
1117,105100,206,251
1118,105300,293,77
1119,105420,167,49
1120,105450,13759,1801
1121,105600,255600,7797
1122,105700,80,50
1123,105800,558,140
1124,107100,27887,1098
1125,107200,2315,202
1126,107300,994,187
1127,107310,2868,222
1128,107410,105034,12524
1129,107600,974,60
1130,108110,35,75
1131,108200,1476,283
1132,108210,177,119
1133,108500,540,70
1134,108600,17273,2606
1135,108700,376,158
1136,108710,22962,2163
1137,108800,6724,1432
1138,109200,77,22
1139,109500,116,77
1140,109600,18517,5297
1141,109700,54,32
1142,110400,117,40
1143,110500,54,26
1144,110600,30,26
1145,110610,47,17
1146,110630,23,14
1147,110800,14096,2315
1148,111000,40,32
1149,111010,41,20
1150,111100,363,81
1151,111400,180,206
1152,111600,514,92
1153,112100,342,76
1154,113020,7237,749
1155,113200,43227,1923
1156,113400,20028,11779
1157,113420,3938,3142
1158,115100,2635,210
1159,115110,1271,155
1160,115120,573,124
1161,115200,151,183
1162,115210,180,92
1163,115220,151,73
1164,115320,5411,2244
1165,115800,3542,555
1166,116100,201,132
1167,200010,1224,225
1168,200020,131,191
1169,200080,68,30
1170,200130,150,44
1171,200150,94,110
1172,200170,3922,686
1173,200190,68,40
1174,200210,23414,4728
1175,200230,286,177
1176,200260,25995,1255
1177,200370,275,167
1178,200390,173,170
1179,200410,45,47
1180,200490,68,48
1181,200510,36630,2072
1182,200550,65,113
1183,200670,54,101
1184,200710,29539,1757
1185,200900,5120,230
1186,200960,268,17
1187,200980,32,3
1188,200990,26,4
1189,201000,24,2
1190,201010,60,6
1191,201070,188,133
1192,201210,384,148
1193,201230,846,319
1194,201290,428,149
1195,201420,671,130
1196,201480,330,310
1197,201490,61,386
1198,201510,290,1874
1199,201570,1429,462
1200,201790,13321,682
1201,201810,26727,3011
1202,201870,5912,1055
1203,202130,167,208
1204,202200,894,300
1205,202310,541,450
1206,202370,36,24
1207,202410,107,22
1208,202670,42,7
1209,202690,117,4
1210,202710,564,212
1211,202730,345,56
1212,202750,3598,1468
1213,202860,36,49
1214,202970,25827,4658
1215,203140,23277,2478
1216,203160,93509,4103
1217,203210,790,79
1218,203290,6413,1902
1219,203350,727,156
1220,203510,581,93
1221,203560,203,47
1222,203630,1811,293
1223,203650,663,206
1224,203680,689,215
1225,203750,4416,742
1226,203770,31668,4187
1227,203830,1279,199
1228,203990,211,24
1229,204030,4384,364
1230,204060,1764,489
1231,204100,21581,4374
1232,204120,628,104
1233,204180,1778,345
1234,204220,161,61
1235,204240,2950,374
1236,204300,20770,3678
1237,204340,5353,702
1238,204360,50273,2063
1239,204390,94,20
1240,204440,112,26
1241,204530,1954,127
1242,204560,77,228
1243,204580,23,4
1244,204630,2005,243
1245,204760,52,144
1246,204860,188,101
1247,204880,8642,712
1248,204940,89,53
1249,204960,218,192
1250,205020,928,117
1251,205060,70,51
